   # 1:time (constant)	2:frequency	3:filter1 (low)	4:filter2	5:filter3   6:filter4	7:filter5	8:filter6	9:filter7	10:filter8	11:filter9  12:filter10 (middle)	13:filter11	14:filter12	15:filter13	16:filter14 (high)
   5.0000000e-01   2.1000000e+01   9.0987035e-04   2.1364750e-04   7.7362419e-05   3.5317685e-05   1.8646118e-05   1.0906933e-05   6.8907723e-06   4.6216010e-06   3.2490166e-06   2.3703675e-06   1.7799593e-06   1.3659483e-06   1.0642577e-06   8.3652469e-07
   5.0000000e-01   2.2000000e+01   1.0026280e-03   2.2675168e-04   8.0162882e-05   3.6107336e-05   1.8917216e-05   1.1014679e-05   6.9387046e-06   4.6449105e-06   3.2611955e-06   2.3771160e-06   1.7838854e-06   1.3683275e-06   1.0657501e-06   8.3748860e-07
   5.0000000e-01   2.3000000e+01   1.1038192e-03   2.4082605e-04   8.3143008e-05   3.6942971e-05   1.9203102e-05   1.1128045e-05   6.9890608e-06   4.6693732e-06   3.2739677e-06   2.3841895e-06   1.7879991e-06   1.3708196e-06   1.0673129e-06   8.3849790e-07
   5.0000000e-01   2.4000000e+01   1.2141622e-03   2.5592838e-04   8.6310297e-05   3.7825948e-05   1.9504088e-05   1.1247118e-05   7.0418681e-06   4.6949988e-06   3.2873368e-06   2.3915896e-06   1.7923009e-06   1.3734250e-06   1.0689464e-06   8.3955266e-07
   5.0000000e-01   2.5000000e+01   1.3344478e-03   2.7212112e-04   8.9672759e-05   3.8757706e-05   1.9820503e-05   1.1371987e-05   7.0971553e-06   4.7217974e-06   3.3013068e-06   2.3993179e-06   1.7967916e-06   1.3761440e-06   1.0706508e-06   8.4065297e-07
   5.0000000e-01   2.6000000e+01   1.4655462e-03   2.8947172e-04   9.3238950e-05   3.9739772e-05   2.0152695e-05   1.1502749e-05   7.1549521e-06   4.7497796e-06   3.3158816e-06   2.4073760e-06   1.8014720e-06   1.3789769e-06   1.0724261e-06   8.4179889e-07
   5.0000000e-01   2.7000000e+01   1.6084154e-03   3.0805304e-04   9.7017995e-05   4.0773760e-05   2.0501032e-05   1.1639503e-05   7.2152901e-06   4.7789563e-06   3.3310656e-06   2.4157657e-06   1.8063428e-06   1.3819241e-06   1.0742726e-06   8.4299052e-07
   5.0000000e-01   2.8000000e+01   1.7641103e-03   3.2794371e-04   1.0101962e-04   4.1861380e-05   2.0865897e-05   1.1782353e-05   7.2782021e-06   4.8093391e-06   3.3468632e-06   2.4244888e-06   1.8114048e-06   1.3849859e-06   1.0761904e-06   8.4422795e-07
   5.0000000e-01   2.9000000e+01   1.9337921e-03   3.4922861e-04   1.0525419e-04   4.3004435e-05   2.1247697e-05   1.1931410e-05   7.3437224e-06   4.8409401e-06   3.3632789e-06   2.4335473e-06   1.8166589e-06   1.3881628e-06   1.0781798e-06   8.4551128e-07
   5.0000000e-01   3.0000000e+01   2.1187399e-03   3.7199931e-04   1.0973273e-04   4.4204830e-05   2.1646856e-05   1.2086788e-05   7.4118868e-06   4.8737716e-06   3.3803176e-06   2.4429431e-06   1.8221059e-06   1.3914550e-06   1.0802408e-06   8.4684059e-07
   5.0000000e-01   3.1000000e+01   2.3203627e-03   3.9635463e-04   1.1446700e-04   4.5464576e-05   2.2063820e-05   1.2248607e-05   7.4827325e-06   4.9078468e-06   3.3979842e-06   2.4526782e-06   1.8277467e-06   1.3948632e-06   1.0823738e-06   8.4821598e-07
   5.0000000e-01   3.2000000e+01   2.5402133e-03   4.2240120e-04   1.1946949e-04   4.6785794e-05   2.2499058e-05   1.2416992e-05   7.5562986e-06   4.9431792e-06   3.4162839e-06   2.4627548e-06   1.8335823e-06   1.3983876e-06   1.0845789e-06   8.4963757e-07
   5.0000000e-01   3.3000000e+01   2.7800034e-03   4.5025405e-04   1.2475349e-04   4.8170718e-05   2.2953059e-05   1.2592075e-05   7.6326253e-06   4.9797827e-06   3.4352220e-06   2.4731751e-06   1.8396135e-06   1.4020287e-06   1.0868563e-06   8.5110546e-07
   5.0000000e-01   3.4000000e+01   3.0416209e-03   4.8003732e-04   1.3033316e-04   4.9621702e-05   2.3426336e-05   1.2773990e-05   7.7117546e-06   5.0176721e-06   3.4548042e-06   2.4839414e-06   1.8458415e-06   1.4057871e-06   1.0892063e-06   8.5261975e-07
   5.0000000e-01   3.5000000e+01   3.3271488e-03   5.1188498e-04   1.3622352e-04   5.1141226e-05   2.3919426e-05   1.2962881e-05   7.7937304e-06   5.0568623e-06   3.4750361e-06   2.4950559e-06   1.8522672e-06   1.4096630e-06   1.0916291e-06   8.5418057e-07
   5.0000000e-01   3.6000000e+01   3.6388859e-03   5.4594163e-04   1.4244057e-04   5.2731901e-05   2.4432890e-05   1.3158894e-05   7.8785979e-06   5.0973691e-06   3.4959237e-06   2.5065213e-06   1.8588918e-06   1.4136571e-06   1.0941249e-06   8.5578802e-07
   5.0000000e-01   3.7000000e+01   3.9793710e-03   5.8236336e-04   1.4900129e-04   5.4396476e-05   2.4967317e-05   1.3362185e-05   7.9664041e-06   5.1392087e-06   3.5174731e-06   2.5183399e-06   1.8657162e-06   1.4177699e-06   1.0966939e-06   8.5744224e-07
   5.0000000e-01   3.8000000e+01   4.3514091e-03   6.2131874e-04   1.5592378e-04   5.6137841e-05   2.5523319e-05   1.3572912e-05   8.0571979e-06   5.1823979e-06   3.5396908e-06   2.5305144e-06   1.8727416e-06   1.4220018e-06   1.0993365e-06   8.5914333e-07
   5.0000000e-01   3.9000000e+01   4.7581003e-03   6.6298981e-04   1.6322723e-04   5.7959040e-05   2.6101538e-05   1.3791243e-05   8.1510297e-06   5.2269539e-06   3.5625832e-06   2.5430474e-06   1.8799693e-06   1.4263535e-06   1.1020529e-06   8.6089145e-07
   5.0000000e-01   4.0000000e+01   5.2028733e-03   7.0757326e-04   1.7093208e-04   5.9863273e-05   2.6702644e-05   1.4017350e-05   8.2479521e-06   5.2728948e-06   3.5861570e-06   2.5559417e-06   1.8874003e-06   1.4308253e-06   1.1048432e-06   8.6268670e-07
   5.0000000e-01   4.1000000e+01   5.6895212e-03   7.5528161e-04   1.7906004e-04   6.1853906e-05   2.7327336e-05   1.4251413e-05   8.3480192e-06   5.3202390e-06   3.6104194e-06   2.5692002e-06   1.8950360e-06   1.4354180e-06   1.1077079e-06   8.6452923e-07
   5.0000000e-01   4.2000000e+01   6.2222434e-03   8.0634461e-04   1.8763420e-04   6.3934479e-05   2.7976344e-05   1.4493620e-05   8.4512872e-06   5.3690057e-06   3.6353774e-06   2.5828257e-06   1.9028775e-06   1.4401321e-06   1.1106472e-06   8.6641919e-07
   5.0000000e-01   4.3000000e+01   6.8056906e-03   8.6101068e-04   1.9667912e-04   6.6108715e-05   2.8650429e-05   1.4744163e-05   8.5578141e-06   5.4192146e-06   3.6610385e-06   2.5968214e-06   1.9109263e-06   1.4449682e-06   1.1136613e-06   8.6835670e-07
   5.0000000e-01   4.4000000e+01   7.4450160e-03   9.1954854e-04   2.0622091e-04   6.8380529e-05   2.9350389e-05   1.5003244e-05   8.6676601e-06   5.4708861e-06   3.6874103e-06   2.6111902e-06   1.9191836e-06   1.4499269e-06   1.1167506e-06   8.7034192e-07
   5.0000000e-01   4.5000000e+01   8.1459329e-03   9.8224895e-04   2.1628735e-04   7.0754035e-05   3.0077050e-05   1.5271073e-05   8.7808873e-06   5.5240411e-06   3.7145006e-06   2.6259353e-06   1.9276509e-06   1.4550089e-06   1.1199153e-06   8.7237499e-07
   5.0000000e-01   4.6000000e+01   8.9147785e-03   1.0494266e-03   2.2690798e-04   7.3233562e-05   3.0831280e-05   1.5547865e-05   8.8975600e-06   5.5787013e-06   3.7423176e-06   2.6410601e-06   1.9363294e-06   1.4602147e-06   1.1231559e-06   8.7445608e-07
   5.0000000e-01   4.7000000e+01   9.7585850e-03   1.1214224e-03   2.3811424e-04   7.5823660e-05   3.1613981e-05   1.5833846e-05   9.0177443e-06   5.6348891e-06   3.7708694e-06   2.6565678e-06   1.9452208e-06   1.4655451e-06   1.1264725e-06   8.7658533e-07
   5.0000000e-01   4.8000000e+01   1.0685161e-02   1.1986054e-03   2.4993959e-04   7.8529112e-05   3.2426095e-05   1.6129249e-05   9.1415090e-06   5.6926274e-06   3.8001648e-06   2.6724620e-06   1.9543264e-06   1.4710007e-06   1.1298655e-06   8.7876291e-07
   5.0000000e-01   4.9000000e+01   1.1703178e-02   1.2813757e-03   2.6241963e-04   8.1354951e-05   3.3268602e-05   1.6434316e-05   9.2689248e-06   5.7519398e-06   3.8302123e-06   2.6887461e-06   1.9636478e-06   1.4765822e-06   1.1333353e-06   8.8098899e-07
   5.0000000e-01   5.0000000e+01   1.2822277e-02   1.3701670e-03   2.7559226e-04   8.4306465e-05   3.4142527e-05   1.6749296e-05   9.4000648e-06   5.8128507e-06   3.8610211e-06   2.7054238e-06   1.9731866e-06   1.4822904e-06   1.1368821e-06   8.8326372e-07
   5.0000000e-01   5.1000000e+01   1.4053173e-02   1.4654497e-03   2.8949785e-04   8.7389218e-05   3.5048937e-05   1.7074451e-05   9.5350045e-06   5.8753852e-06   3.8926004e-06   2.7224988e-06   1.9829444e-06   1.4881259e-06   1.1405064e-06   8.8558729e-07
   5.0000000e-01   5.2000000e+01   1.5407788e-02   1.5677341e-03   3.0417938e-04   9.0609059e-05   3.5988945e-05   1.7410050e-05   9.6738217e-06   5.9395692e-06   3.9249598e-06   2.7399749e-06   1.9929227e-06   1.4940895e-06   1.1442085e-06   8.8795986e-07
   5.0000000e-01   5.3000000e+01   1.6899384e-02   1.6775742e-03   3.1968264e-04   9.3972142e-05   3.6963712e-05   1.7756371e-05   9.8165969e-06   6.0054291e-06   3.9581089e-06   2.7578561e-06   2.0031233e-06   1.5001820e-06   1.1479887e-06   8.9038163e-07
   5.0000000e-01   5.4000000e+01   1.8542731e-02   1.7955714e-03   3.3605643e-04   9.7484938e-05   3.7974448e-05   1.8113703e-05   9.9634129e-06   6.0729922e-06   3.9920578e-06   2.7761463e-06   2.0135479e-06   1.5064041e-06   1.1518475e-06   8.9285276e-07
   5.0000000e-01   5.5000000e+01   2.0354273e-02   1.9223793e-03   3.5335274e-04   1.0115426e-04   3.9022413e-05   1.8482348e-05   1.0114355e-05   6.1422867e-06   4.0268168e-06   2.7948496e-06   2.0241982e-06   1.5127566e-06   1.1557851e-06   8.9537346e-07
   5.0000000e-01   5.6000000e+01   2.2352332e-02   2.0587080e-03   3.7162701e-04   1.0498726e-04   4.0108923e-05   1.8862613e-05   1.0269512e-05   6.2133415e-06   4.0623964e-06   2.8139702e-06   2.0350761e-06   1.5192404e-06   1.1598020e-06   8.9794390e-07
   5.0000000e-01   5.7000000e+01   2.4557328e-02   2.2053297e-03   3.9093836e-04   1.0899148e-04   4.1235349e-05   1.9254823e-05   1.0428975e-05   6.2861861e-06   4.0988074e-06   2.8335125e-06   2.0461833e-06   1.5258563e-06   1.1638986e-06   9.0056429e-07
   5.0000000e-01   5.8000000e+01   2.6992022e-02   2.3630845e-03   4.1134984e-04   1.1317486e-04   4.2403120e-05   1.9659309e-05   1.0592837e-05   6.3608511e-06   4.1360610e-06   2.8534808e-06   2.0575218e-06   1.5326052e-06   1.1680753e-06   9.0323482e-07
   5.0000000e-01   5.9000000e+01   2.9681799e-02   2.5328864e-03   4.3292872e-04   1.1754573e-04   4.3613727e-05   2.0076417e-05   1.0761196e-05   6.4373679e-06   4.1741684e-06   2.8738796e-06   2.0690934e-06   1.5394878e-06   1.1723325e-06   9.0595571e-07
   5.0000000e-01   6.0000000e+01   3.2654969e-02   2.7157306e-03   4.5574679e-04   1.2211289e-04   4.4868723e-05   2.0506504e-05   1.0934150e-05   6.5157686e-06   4.2131414e-06   2.8947136e-06   2.0809002e-06   1.5465051e-06   1.1766705e-06   9.0872714e-07
