# long, lat, r, g, b
66.8571,90,118,166,205
67.8857,90,119,166,205
68.9143,90,119,166,204
69.9429,90,118,166,204
70.9714,90,118,166,204
72,90,118,166,204
73.0286,90,118,166,204
74.0571,90,118,166,204
75.0857,90,118,166,204
76.1143,90,118,166,204
77.1429,90,118,166,204
78.1714,90,118,166,204
79.2,90,118,166,204
80.2286,90,118,166,204
81.2571,90,118,166,204
82.2857,90,118,166,204
83.3143,90,118,166,204
84.3429,90,118,166,204
85.3714,90,118,166,204
86.4,90,118,166,204
87.4286,90,118,166,204
88.4571,90,118,166,204
89.4857,90,118,166,204
90.5143,90,118,166,204
91.5429,90,118,166,204
92.5714,90,118,166,204
93.6,90,118,166,204
94.6286,90,118,166,204
95.6571,90,118,166,204
96.6857,90,118,166,204
97.7143,90,118,166,204
98.7429,90,118,166,204
99.7714,90,118,166,204
100.8,90,118,166,204
101.829,90,118,166,204
102.857,90,118,166,204
103.886,90,118,166,204
104.914,90,118,166,204
105.943,90,118,166,204
106.971,90,118,166,204
108,90,118,166,204
109.029,90,118,166,204
110.057,90,118,166,204
111.086,90,118,166,204
112.114,90,118,166,204
113.143,90,118,166,204
114.171,90,118,166,204
115.2,90,118,166,204
116.229,90,118,166,204
117.257,90,118,166,204
118.286,90,118,166,204
119.314,90,118,166,204
120.343,90,118,166,204
121.371,90,118,166,204
122.4,90,118,166,204
123.429,90,118,166,204
124.457,90,118,166,204
125.486,90,118,166,204
126.514,90,118,166,204
127.543,90,119,166,204
128.571,90,119,166,205
129.6,90,119,166,205
130.629,90,119,167,205
131.657,90,120,167,206
132.686,90,121,168,206
133.714,90,122,168,206
134.743,90,123,169,207
135.771,90,123,169,207
136.8,90,124,170,207
137.829,90,124,170,207
138.857,90,125,170,208
139.886,90,127,171,208
140.914,90,128,172,209
141.943,90,129,173,209
142.971,90,130,174,210
144,90,130,174,210
145.029,90,130,174,210
146.057,90,129,173,209
147.086,90,128,173,209
148.114,90,127,172,209
149.143,90,126,171,208
150.171,90,126,170,208
151.2,90,125,170,208
152.229,90,124,170,207
153.257,90,123,169,207
154.286,90,123,169,207
155.314,90,123,169,207
156.343,90,122,169,207
157.371,90,122,168,206
158.4,90,121,168,206
159.429,90,121,167,206
160.457,90,120,167,205
161.486,90,120,167,205
162.514,90,120,167,205
163.543,90,119,167,205
164.571,90,119,167,205
165.6,90,119,167,205
166.629,90,120,167,205
167.657,90,120,167,205
168.686,90,120,167,205
169.714,90,120,167,205
170.743,90,120,167,205
171.771,90,120,168,206
172.8,90,120,168,206
173.829,90,120,168,206
174.857,90,121,168,206
175.886,90,121,168,206
176.914,90,120,168,206
177.943,90,120,168,206
178.971,90,120,167,206

-180,88.9714,121,168,206
-178.971,88.9714,121,168,206
-177.943,88.9714,121,168,206
-176.914,88.9714,121,168,206
-175.886,88.9714,121,168,206
-174.857,88.9714,121,168,206
-173.829,88.9714,122,168,206
-172.8,88.9714,122,169,207
-171.771,88.9714,122,169,207
-170.743,88.9714,122,169,207
-169.714,88.9714,122,169,207
-168.686,88.9714,122,169,207
-167.657,88.9714,122,169,207
-166.629,88.9714,122,168,207
-165.6,88.9714,122,168,206
-164.571,88.9714,121,168,206
-163.543,88.9714,121,168,206
-162.514,88.9714,121,168,206
-161.486,88.9714,121,168,206
-160.457,88.9714,121,168,206
-159.429,88.9714,121,168,206
-158.4,88.9714,121,168,206
-157.371,88.9714,121,168,206
-156.343,88.9714,121,168,206
-155.314,88.9714,121,168,206
-154.286,88.9714,121,168,206
-153.257,88.9714,121,168,206
-152.229,88.9714,121,168,206
-151.2,88.9714,121,168,206
