0,0,0
0.001,932.63,-17.836
0.002,3821.2,-80.62
0.003,8793.1,-354.74
0.004,16012,-678.02
0.005,25587,-1579
0.006,37741,-2405.7
0.007,52536,-4372.7
0.008,70287,-5994.6
0.009,90976,-9543.6
0.01,1.1505e+005,-12308
0.011,1.4236e+005,-18041
0.012,1.7354e+005,-22359
0.013,2.0829e+005,-30974
0.014,2.4744e+005,-37326
0.015,2.9049e+005,-49629
0.016,3.3855e+005,-58574
0.017,3.9085e+005,-75488
0.018,4.4884e+005,-87674
0.019,5.1143e+005,-1.1026e+005
0.02,5.8045e+005,-1.2643e+005
0.021,6.5444e+005,-1.5589e+005
0.022,7.3571e+005,-1.7691e+005
0.023,8.2232e+005,-2.146e+005
0.024,9.1714e+005,-2.4145e+005
0.025,1.0177e+006,-2.8893e+005
0.026,1.1275e+006,-3.2272e+005
0.027,1.2434e+006,-3.8174e+005
0.028,1.3697e+006,-4.2373e+005
0.029,1.5025e+006,-4.9625e+005
0.03,1.647e+006,-5.4789e+005
0.031,1.7984e+006,-6.3612e+005
0.032,1.9628e+006,-6.9902e+005
0.033,2.1346e+006,-8.0543e+005
0.034,2.321e+006,-8.8143e+005
0.035,2.5151e+006,-1.0088e+006
0.036,2.7255e+006,-1.0999e+006
0.037,2.9441e+006,-1.2514e+006
0.038,3.1808e+006,-1.36e+006
0.039,3.4261e+006,-1.5389e+006
0.04,3.6915e+006,-1.6675e+006
0.041,3.966e+006,-1.8777e+006
0.042,4.2629e+006,-2.0293e+006
0.043,4.5691e+006,-2.2751e+006
0.044,4.892e+006,-2.5436e+006
0.045,5.2412e+006,-2.739e+006
0.046,5.6002e+006,-3.0508e+006
0.047,5.9883e+006,-3.2781e+006
0.048,6.3866e+006,-3.6387e+006
0.049,6.8171e+006,-3.9024e+006
0.05,7.2582e+006,-4.3179e+006
0.051,7.7347e+006,-4.6226e+006
0.052,8.2221e+006,-5.0998e+006
0.053,8.7488e+006,-5.4507e+006
0.054,9.2865e+006,-5.9972e+006
0.055,9.8675e+006,-6.4e+006
0.056,1.046e+007,-7.024e+006
0.057,1.11e+007,-7.4852e+006
0.058,1.1751e+007,-8.1957e+006
0.059,1.2455e+007,-8.7224e+006
0.06,1.317e+007,-9.5294e+006
0.061,1.3943e+007,-1.0129e+007
0.062,1.4728e+007,-1.1044e+007
0.063,1.5576e+007,-1.1726e+007
0.064,1.6436e+007,-1.276e+007
0.065,1.7365e+007,-1.3533e+007
0.066,1.8305e+007,-1.47e+007
0.067,1.9322e+007,-1.5575e+007
0.068,2.035e+007,-1.6889e+007
0.069,2.1461e+007,-1.7877e+007
0.07,2.2583e+007,-1.9355e+007
0.071,2.3796e+007,-2.0469e+007
0.072,2.502e+007,-2.2127e+007
0.073,2.6344e+007,-2.338e+007
0.074,2.7678e+007,-2.5239e+007
0.075,2.912e+007,-2.6647e+007
0.076,3.0572e+007,-2.8726e+007
0.077,3.2143e+007,-3.0305e+007
0.078,3.3722e+007,-3.2628e+007
0.079,3.5431e+007,-3.4396e+007
0.08,3.7147e+007,-3.6987e+007
0.081,3.9005e+007,-3.8965e+007
0.082,4.0868e+007,-4.1852e+007
0.083,4.2886e+007,-4.406e+007
0.084,4.4908e+007,-4.7272e+007
0.085,4.7012e+007,-5.0681e+007
0.086,4.9291e+007,-5.3305e+007
0.087,5.1572e+007,-5.7091e+007
0.088,5.4042e+007,-6.0012e+007
0.089,5.6513e+007,-6.4211e+007
0.09,5.919e+007,-6.7459e+007
0.091,6.1864e+007,-7.2112e+007
0.092,6.4762e+007,-7.5719e+007
0.093,6.7655e+007,-8.0869e+007
0.094,7.0791e+007,-8.4871e+007
0.095,7.3919e+007,-9.0566e+007
0.096,7.7311e+007,-9.5001e+007
0.097,8.069e+007,-1.0129e+008
0.098,8.4356e+007,-1.062e+008
0.099,8.8005e+007,-1.1315e+008
0.1,9.1965e+007,-1.1858e+008
0.101,9.5904e+007,-1.2624e+008
0.102,1.0018e+008,-1.3224e+008
0.103,1.0443e+008,-1.4068e+008
0.104,1.0904e+008,-1.473e+008
0.105,1.1362e+008,-1.5659e+008
0.106,1.186e+008,-1.6391e+008
0.107,1.2353e+008,-1.7412e+008
0.108,1.289e+008,-1.8218e+008
0.109,1.3421e+008,-1.9342e+008
0.11,1.3999e+008,-2.0229e+008
0.111,1.4572e+008,-2.1463e+008
0.112,1.5194e+008,-2.244e+008
0.113,1.581e+008,-2.3794e+008
0.114,1.648e+008,-2.4869e+008
0.115,1.7143e+008,-2.6354e+008
0.116,1.7864e+008,-2.7535e+008
0.117,1.8576e+008,-2.9163e+008
0.118,1.9352e+008,-3.046e+008
0.119,2.0118e+008,-3.2243e+008
0.12,2.0952e+008,-3.3667e+008
0.121,2.1774e+008,-3.5619e+008
0.122,2.267e+008,-3.718e+008
0.123,2.3554e+008,-3.9316e+008
0.124,2.4517e+008,-4.1027e+008
0.125,2.5465e+008,-4.3362e+008
0.126,2.6499e+008,-4.5237e+008
0.127,2.7517e+008,-4.7789e+008
0.128,2.8569e+008,-5.0468e+008
0.129,2.9718e+008,-5.2628e+008
0.13,3.0847e+008,-5.5554e+008
0.131,3.208e+008,-5.7915e+008
0.132,3.3291e+008,-6.1108e+008
0.133,3.4613e+008,-6.3689e+008
0.134,3.591e+008,-6.7172e+008
0.135,3.7328e+008,-6.9992e+008
0.136,3.8718e+008,-7.3788e+008
0.137,4.0238e+008,-7.6867e+008
0.138,4.1727e+008,-8.1003e+008
0.139,4.3355e+008,-8.4364e+008
0.14,4.4949e+008,-8.8868e+008
