# Frequency         Amplitude (dB)          Amlitude (dB)
1	                -16.21632252497487      -17.51230370273884
1.023340212191642	-16.11612652063237      -17.41221334668528
1.047225189888435	-16.01593072391349      -17.31212818783587
1.071667648032864	-15.91573514462327      -17.21204847166048
1.096680598336868	-15.81553979302982      -17.11197445522433
1.122277356208508	-15.71534467988621      -17.01190640773593
1.148471547840289	-15.61514981645325      -16.9118446111207
1.175277117462945	-15.51495521452352      -16.81178936062209
1.202708334768512	-15.4147608864466       -16.71174096543081
1.230779802506665	-15.31456684515527      -16.6116997493438
1.259506464258358	-15.21437310419299      -16.51166605145461
1.288903612390893	-15.11417967774284      -16.41164022687634
1.31898689619867	-15.01398658065779      -16.31162264749846
1.349772330233942	-14.91379382849212      -16.21161370278005
1.38127630283201	-14.81360143753468      -16.11161380057986
1.413515584835396	-14.71340942484364      -16.01162336802604
1.446507338521647	-14.61321780828267      -15.91164285242712
1.480269126739509	-14.51302660655914      -15.81167272222577
1.514818922258346	-14.41283583926374      -15.71171346799775
1.55017511733577	-14.3126455269125       -15.61176560349828
1.586356533508591	-14.21245569099022      -15.51182966675793
1.623382431612279	-14.11226635399626      -15.41190622123016
1.661272522034293	-14.01207753949272      -15.31199585699332
1.700046975206718	-13.91188927215423      -15.2120991920096
1.739726432343802	-13.81170157782079      -15.11221687344355
1.780332016430114	-13.71151448355264      -15.0123495790428
1.821885343465167	-13.61132801768804      -14.91249801858456
1.864408533970486	-13.5111422099034       -14.81266293539032
1.907924224765266	-13.41095709127661      -14.71284510791241
1.952455581016861	-13.31077269435333      -14.61304535139574
1.99802630857255	-13.21058905321618      -14.51326451961822
2.044660666579117	-13.1104062035573       -14.41350350671333
2.092383480396978	-13.01022418275429      -14.31376324908029
2.141220154815729	-12.91004302995004      -14.21404472738277
2.191196687578149	-12.80986278613602      -14.11434896864427
2.242339683219846	-12.70968349423939      -14.0146770484417
2.294676367231936	-12.60950519921465      -13.91503009320352
2.348234600554276	-12.50932794813918      -13.81540928261657
2.403042894406969	-12.40915179031375      -13.71581585214738
2.459130425468045	-12.30897677736723      -13.61625109568308
2.516527051405391	-12.20880296336672      -13.51671636829725
2.575263326771201	-12.10863040493261      -13.41721308914784
2.635370519267394	-12.00845916135938      -13.31774274451204
2.696880626390693	-11.90828929474138      -13.21830689096574
2.75982639246618	-11.80812087010562      -13.11890715871377
2.824241326078435	-11.70795395554998      -13.01954525507852
2.89015971790951	-11.60778862238816      -12.92022296815477
2.957616658993254	-11.50762494530187      -12.8209421706375
3.026648059395692	-11.40746300249941      -12.72170482383284
3.097290667331409	-11.30730287588267      -12.62251298185894
3.169582088726116	-11.20714465122131      -12.5233687960476
3.243560807235812	-11.10698841833544      -12.42427451955507
3.319266204733189	-11.00683427128704      -12.32523251219234
3.396738582272208	-10.90668230857998      -12.2262452454865
3.476019181541978	-10.80653263337021      -12.12731530798232
3.557150206821386	-10.7063853536851       -12.02844541079758
3.64017484744614	-10.60624058265363      -11.92963839344321
3.725137300800212	-10.50609843874738      -11.83089722992103
3.812082795843889	-10.40595904603268      -11.73222503511337
3.901057617190992	-10.30582253443495      -11.63362507147778
3.992109129748052	-10.20568904001531      -11.53510075606167
4.085285803928563	-10.10555870526042      -11.43665566785293
4.180637241455758	-10.00543167938589      -11.33829355548234
4.278214201767616	-9.905308118653966      -11.24001834529503
4.378068629038169	-9.805188186706538      -11.14183414980866
4.480253679829491	-9.705072054913275      -11.04374527657761
4.584823751389096	-9.604959902737054      -10.94575623748243
4.691834510607798	-9.504851918115653      -10.84787175846564
4.801342923653452	-9.404748297862396      -10.75009678973555
4.913407286296363	-9.304649248084932      -10.652436516461
5.028087254942479	-9.204554984624556      -10.55489636998089
5.145443878390927	-9.104465733515489      -10.45748203955423
5.265539630332757	-9.004381731466648      -10.3601994846766
5.388438442608224	-8.904303226365244      -10.26305494799145
5.514205739240301	-8.804230477805142      -10.16605496882508
5.642908471262539	-8.704163757639506      -10.06920639737688
5.774615152359821	-8.604103350559566      -9.972516409595734
5.909395895340971	-8.504049554701414      -9.875992522778503
6.047322449462648	-8.404002682280328      -9.779642611924835
6.188468238624386	-8.303963060256015      -9.683474926886802
6.332908400455115	-8.203931031028855      -9.587498110352586
6.48071982631197	-8.103906953168963      -9.49172121670594
6.631981202212672	-8.003891202179931      -9.396153731805313
6.786773050723297	-7.903884171298424      -9.30080559372897
6.945177773823696	-7.803886272331715      -9.205687214533766
7.107279696773417	-7.703897936534539      -9.110809503079755
7.273165113001458	-7.60391961552752       -9.016183888973831
7.44292233004376	-7.503951782258961      -8.921822347688821
7.616641716552892	-7.403994932012099      -8.827737426918254
7.794415750404949	-7.304049583459742      -8.733942274229152
7.976339067929277	-7.204116279768812      -8.640450666078831
8.162508514287229	-7.10419558975723       -8.547277038266103
8.353023195026777	-7.00428810910484       -8.454436517889338
8.547984528840409	-6.904394461622618      -8.361944956889516
8.747496301554417	-6.804515300580456      -8.269818967259347
8.951664721378302	-6.704651310098702      -8.178075958004396
9.160598475443708	-6.604803206604847      -8.086734173946855
9.374408787662995	-6.504971740359444      -7.995812736467451
9.593209477938244	-6.405157697053381      -7.905331686285465
9.817117022752193	-6.305361899481589      -7.815312028383681
10.04625061717341	-6.205585209294503      -7.725775779189387
10.28073223830865	-6.105828528833666      -7.636746016129469
10.52068671023623	-6.006092803052754      -7.548246929683014
10.76624177045493	-5.906379021530196      -7.460303878063153
11.01752813788387	-5.806688220576071      -7.372943444664676
11.27467958244947	-5.707021485439322      -7.286193498423035
